t,r,y,u,e,e_pp,k_e,estado_id,idx_lut,Gc,Gct,mu1,lambda2,xI,xF,d_term,estado_nome
77.67,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-5.07883565407584e-11,0.0,Inconsistente -
77.68,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,5.1873798943842185e-11,-0.0,Inconsistente -
77.69,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,4.0229491064601394e-11,-0.0,Inconsistente -
77.7,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-1.0974352673703065e-10,0.0,Inconsistente -
77.71000000000001,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-3.4308990831430415e-11,0.0,Inconsistente -
77.72,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.5761680994286708e-10,-0.0,Inconsistente -
77.73,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,2.6369643264530773e-11,-0.0,Inconsistente -
77.74,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-4.119415457642401e-11,0.0,Inconsistente -
77.75,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,9.048557454597641e-11,-0.0,Inconsistente -
77.76,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,2.8886578687728836e-11,-0.0,Inconsistente -
77.77,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-3.0809072589520354e-11,0.0,Inconsistente -
77.78,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,5.3222898270211237e-11,-0.0,Inconsistente -
77.79,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,1.8540178053947738e-11,-0.0,Inconsistente -
77.8,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,-5.7470006633872355e-11,0.0,Inconsistente -
77.81,1.0,0.9999999999999987,1.0,1.3322676295501878e-15,1.3988810110276974e-15,1.05,12,12,-1.3322676295501878e-15,0.9999999999999987,0.9999999999999987,1.0,0.9999999999999987,2.1304761546400153e-11,-0.0,Inconsistente -
